"id","wta_car","wta_elec","wta_green","ifpollution","living_area_ln","age_ln","is_bachelor","location","female","married","income_level","youth","older_adults","partymember","province","weekday","ifsunny","caruse","conditioner1month","mainuseelec","heard_about_global_warming","know_about_low_carbon","know_about_carbon_neutrality","know_about_carbon_policy","publictrans","conditionernumber","energy_consume2020","weights"
983,"7","4","2",0,4.27666611901606,3.89182029811063,0,"county seat",1,1,5,"1","0","0","Hebei","Monday","1",1,0,"1","yes and agree","heard but do not know","never","never",0,0,2160,0.29
2641,"5","3","5",0,4.86753445045558,3.13549421592915,0,"city",1,0,3,"0","1","0","Guangdong","Wednesday","1",1,7,"0","yes but disagree","heard and know","heard and know","heard and know",1,1,3165,0.513391102033781
1122,"5","5","4",0,4.24849524204936,3.58351893845611,0,"county seat",1,1,4,"0","0","0","Beijing","Wednesday","1",1,0,"1","yes but disagree","heard but do not know","heard but do not know","heard but do not know",2,0,2200,0.29
1925,"4","2","1",0,4.24849524204936,3.55534806148941,0,"city",1,1,2,"0","0","0","Hebei","Tuesday","1",1,0,"1","yes but disagree","heard and know","never","never",10,0,2000,0.29
3214,"1","1","1",0,4.39444915467244,3.58351893845611,1,"rural",1,1,4,"1","0","0","Guangdong","Thursday","1",0,5,"1","yes and agree","heard and know","never","never",16,1,3529,0.29
2053,"5","5","5",1,4.49980967033027,3.58351893845611,1,"city",0,1,5,"1","0","0","Zhejiang","Wednesday","1",0,2,"1","yes and agree","heard but do not know","heard but do not know","heard and know",3,1,1909,0.29
152,"4","4","4",0,4.74493212836325,3.73766961828337,0,"county seat",0,1,6,"0","0","0","Hebei","Saturday","1",0,0,"1","no","never","never","never",2,0,2482,1.8960524742174
3198,"5","5","4",0,4.0943445622221,3.61091791264422,1,"city",0,0,4,"0","1","0","Guangdong","Thursday","1",1,5,"1","yes and agree","heard and know","heard but do not know","heard but do not know",14,1,2537,0.29
1613,"1","1","1",0,3.78418963391826,3.52636052461616,0,"city",1,1,3,"0","1","0","Hebei","Sunday","1",1,1,"1","yes and agree","heard but do not know","heard but do not know","heard but do not know",10,1,1625,0.29
2202,"5","4","4",0,4.70048036579242,3.68887945411394,0,"city",0,1,6,"1","0","0","Guangdong","Thursday","0",0,5,"1","yes and agree","heard but do not know","never","never",0,1,3328,0.29
1013,"7","5","4",0,3.80666248977032,3.8286413964891,0,"city",0,0,3,"0","0","0","Beijing","Tuesday","1",1,4,"1","yes and agree","never","never","never",8,1,2045,8.79898639844967
1164,"7","4","4",0,4.23410650459726,3.97029191355212,0,"city",0,1,5,"0","0","0","Beijing","Monday","1",0,2,"1","yes and agree","heard and know","heard and know","heard and know",8,1,3889,0.427287261784241
1010,"6","6","6",0,4.60517018598809,4.11087386417331,0,"county seat",1,1,2,"0","0","0","Hebei","Tuesday","1",1,3,"1","no","never","never","never",0,1,3180,0.29
916,"7","3","1",0,3.68887945411394,4.14313472639153,0,"city",1,0,3,"0","1","0","Beijing","Monday","1",1,0,"1","yes but disagree","never","never","never",2,0,2600,0.29
160,"7","7","3",0,4.9416424226093,3.52636052461616,0,"county seat",0,1,3,"1","0","0","Hebei","Saturday","1",0,0,"1","yes but disagree","heard but do not know","never","never",2,0,2708,0.372673552734844
801,"7","7","7",0,4.38202663467388,3.55534806148941,1,"city",1,1,6,"1","0","0","Zhejiang","Sunday","0",0,3,"1","yes and agree","heard and know","heard but do not know","heard but do not know",3,1,3500,0.29
1241,"4","2","1",0,3.98898404656427,3.91202300542815,0,"city",1,1,3,"0","0","0","Beijing","Thursday","1",1,4,"1","yes and agree","heard but do not know","never","never",6,1,1214,0.29
692,"2","3","2",1,4.31748811353631,3.49650756146648,1,"city",1,1,4,"1","1","0","Zhejiang","Friday","1",0,7,"1","yes and agree","heard and know","never","never",0,1,1959,0.29
164,"1","1","1",0,4.70048036579242,3.29583686600433,1,"city",1,1,5,"1","1","0","Beijing","Thursday","0",0,3,"1","yes and agree","familiar","familiar","familiar",2,1,3850,0.427046595145418
1338,"7","4","3",0,3.63758615972639,3.71357206670431,1,"city",1,1,4,"1","1","0","Beijing","Friday","1",0,4,"1","yes but disagree","heard but do not know","heard but do not know","never",12,1,2800,0.29
1156,"7","7","4",0,4.60517018598809,3.43398720448515,0,"county seat",0,1,4,"1","0","0","Hebei","Monday","1",0,3,"1","yes and agree","heard but do not know","never","never",0,1,1650,1.241974008131
3264,"7","7","7",0,4.30406509320417,3.68887945411394,0,"county seat",1,1,6,"1","0","0","Guangdong","Thursday","1",0,5,"1","no","heard but do not know","never","never",0,1,3500,0.652822858651694
3115,"5","3","1",0,3.73766961828337,3.52636052461616,1,"city",1,1,5,"1","0","0","Guangdong","Wednesday","1",1,1,"1","yes and agree","heard and know","heard but do not know","never",12,1,4220,0.29
1421,"6","6","6",0,5.24702407216049,3.36729582998647,0,"rural",1,1,4,"1","1","0","Hebei","Saturday","1",0,3,"1","yes but disagree","heard but do not know","heard but do not know","never",0,1,3150,1.03900238823252
615,"7","7","7",0,4.86753445045558,3.91202300542815,0,"county seat",1,1,5,"0","0","0","Hebei","Friday","1",1,2,"1","yes and agree","never","never","never",5,1,4600,1.02932536300857
1330,"4","7","5",0,4.24849524204936,3.66356164612965,0,"county seat",1,1,4,"0","0","0","Guangdong","Friday","0",0,5,"1","yes and agree","heard but do not know","never","never",0,1,4623,0.29
610,"3","2","3",1,4.70048036579242,3.43398720448515,1,"city",0,1,4,"1","1","0","Hebei","Friday","0",0,0,"1","yes and agree","heard and know","heard but do not know","heard but do not know",3,0,4000,0.426155297891374
1211,"6","6","6",0,4.06044301054642,3.93182563272433,0,"county seat",1,1,3,"0","1","0","Beijing","Thursday","1",1,1,"1","no","never","never","never",0,1,3240,0.978987610870783
2424,"3","7","2",0,2.94443897916644,3.36729582998647,1,"county seat",1,1,2,"1","0","0","Guangdong","Sunday","0",1,5,"1","yes and agree","heard and know","never","never",14,1,1690,0.390352736240351
1666,"6","6","6",0,5.29831736654804,3.09104245335832,0,"county seat",0,0,4,"1","0","0","Hebei","Sunday","1",0,3,"1","yes and agree","heard and know","heard but do not know","never",0,1,1800,1.97250400521353
1613,"4","7","2",0,5.88610403145016,3.43398720448515,0,"city",1,1,4,"0","0","0","Guangdong","Saturday","1",0,6,"1","yes and agree","heard and know","heard but do not know","never",10,1,633,1.0171111632533
3111,"6","6","5",0,4.0943445622221,3.55534806148941,0,"county seat",1,1,2,"1","0","0","Guangdong","Wednesday","1",1,2,"1","yes and agree","heard but do not know","heard but do not know","heard but do not know",8,1,713,0.29
1469,"7","1","1",0,3.97029191355212,3.66356164612965,1,"city",1,1,5,"1","0","0","Beijing","Saturday","1",0,4,"1","yes but disagree","heard and know","never","never",2,1,2400,0.29
3381,"7","7","5",0,4.17438726989564,2.99573227355399,0,"rural",0,0,4,"1","0","0","Guangdong","Friday","0",1,0,"0","no","heard but do not know","heard and know","heard and know",20,0,1369,0.662961022218672
3165,"7","7","7",1,4.64439089914137,3.49650756146648,0,"county seat",1,1,4,"1","1","0","Guangdong","Wednesday","1",1,7,"1","yes and agree","heard and know","heard and know","heard and know",20,1,4971,0.29
1211,"7","5","2",0,4.74493212836325,3.29583686600433,1,"county seat",1,1,5,"0","0","1","Guangdong","Thursday","0",0,1,"1","yes and agree","heard and know","heard and know","heard but do not know",10,1,3477,0.427046595145418
1601,"4","4","5",0,4.0943445622221,3.76120011569356,0,"county seat",0,1,4,"0","0","0","Beijing","Saturday","1",1,2,"1","no","never","never","never",0,1,2045,0.29
556,"7","6","5",0,4.60517018598809,3.43398720448515,0,"rural",0,1,4,"1","0","0","Hebei","Thursday","0",0,0,"0","no","heard but do not know","never","never",2,0,3033,1.14658405112713
954,"2","2","1",0,3.68887945411394,3.73766961828337,1,"city",1,1,4,"0","0","0","Beijing","Monday","1",1,4,"1","no","never","never","never",16,1,2375,0.29
1224,"5","7","1",0,4.86753445045558,3.93182563272433,0,"rural",0,1,6,"0","0","0","Guangdong","Thursday","1",0,4,"1","yes and agree","familiar","never","never",6,1,4650,0.435591191832487
1258,"2","1","1",0,5.19295685089021,3.49650756146648,0,"rural",1,1,3,"0","1","0","Beijing","Thursday","1",1,4,"1","no","heard but do not know","never","never",2,1,2133,2.27086826616563
3162,"4","4","4",0,4.31748811353631,3.04452243772342,1,"city",0,0,5,"0","0","0","Guangdong","Wednesday","1",0,7,"1","yes and agree","heard and know","heard but do not know","heard but do not know",4,1,1067,0.681694532917722
1116,"7","6","5",0,5.07517381523383,4.07753744390572,0,"city",1,1,5,"0","1","0","Guangdong","Wednesday","0",0,5,"1","no","never","never","never",1,1,1250,3.57931155550654
3118,"1","1","1",0,4.04305126783455,3.61091791264422,0,"city",0,1,4,"1","0","0","Guangdong","Wednesday","1",1,3,"1","yes and agree","heard but do not know","heard but do not know","never",10,1,1371,0.29
2363,"5","2","1",0,4.47733681447821,3.89182029811063,0,"city",0,1,6,"1","0","0","Guangdong","Saturday","1",0,5,"1","yes but disagree","never","never","never",0,1,2778,0.29
3169,"4","7","7",0,4.48863636973214,3.25809653802148,1,"county seat",1,1,4,"0","0","0","Guangdong","Wednesday","1",1,7,"1","yes and agree","heard and know","heard but do not know","heard but do not know",4,1,1768,0.446925814010253
1126,"5","5","6",0,4.38202663467388,3.43398720448515,1,"city",0,1,6,"1","0","0","Zhejiang","Sunday","1",1,2,"1","yes and agree","heard and know","heard but do not know","heard but do not know",10,1,4000,0.426155297891374
1591,"6","6","6",0,3.3322045101752,3.58351893845611,0,"city",1,1,2,"1","0","0","Guangdong","Saturday","0",1,7,"1","yes and agree","heard and know","heard but do not know","heard but do not know",5,1,4480,0.793283902512309
1616,"2","2","2",0,4.60517018598809,3.95124371858143,0,"county seat",0,1,2,"0","0","0","Hebei","Sunday","0",0,4,"1","yes and agree","heard but do not know","heard but do not know","never",0,1,1750,1.13583617329244
1245,"5","4","5",0,4.24849524204936,3.89182029811063,0,"county seat",1,1,3,"0","0","0","Beijing","Thursday","1",1,0,"1","no","never","never","heard but do not know",4,0,1706,0.428181366720944
829,"7","7","7",0,4.38202663467388,3.87120101090789,1,"city",1,1,6,"1","0","0","Zhejiang","Sunday","0",0,2,"1","yes and agree","heard and know","never","heard and know",2,1,3000,0.29
2453,"7","5","4",0,3.91202300542815,3.49650756146648,1,"county seat",1,1,1,"0","1","0","Guangdong","Monday","0",1,4,"1","yes and agree","heard but do not know","heard but do not know","heard but do not know",12,1,2141,0.29
3119,"3","7","1",1,4.61512051684126,3.2188758248682,0,"county seat",0,0,4,"0","1","0","Guangdong","Thursday","1",0,4,"1","yes and agree","heard and know","heard and know","heard but do not know",12,1,4934,0.562809000235141
2626,"7","7","3",0,4.60517018598809,3.43398720448515,1,"city",0,0,1,"0","0","0","Guangdong","Wednesday","1",1,0,"1","yes and agree","heard and know","heard and know","heard and know",10,0,3629,0.426155297891374
1286,"2","4","1",0,5.7037824746562,3.43398720448515,0,"rural",0,0,5,"0","0","0","Zhejiang","Thursday","0",0,1,"1","yes and agree","familiar","familiar","never",0,1,263,1.14658405112713
953,"5","5","2",0,3.91202300542815,3.66356164612965,0,"city",1,1,4,"1","0","0","Beijing","Monday","1",1,0,"1","yes and agree","heard and know","never","never",12,0,1698,0.29
1428,"2","4","4",0,4.49980967033027,3.66356164612965,0,"city",1,1,4,"1","0","0","Hebei","Saturday","1",0,3,"1","yes and agree","heard but do not know","heard but do not know","never",2,1,2600,0.685161404941599
951,"6","6","6",0,4.38202663467388,3.73766961828337,0,"county seat",0,1,3,"0","1","0","Beijing","Monday","1",1,0,"0","no","heard but do not know","never","never",2,0,2200,0.29
3135,"5","5","4",0,4.38202663467388,3.52636052461616,0,"rural",1,1,4,"1","0","0","Guangdong","Wednesday","0",1,3,"1","yes and agree","heard but do not know","never","never",12,1,822,0.29
3154,"4","4","7",0,4.44265125649032,3.66356164612965,0,"city",1,1,5,"0","1","0","Guangdong","Wednesday","1",1,1,"1","yes and agree","heard but do not know","heard but do not know","never",7,1,2214,0.29
3331,"7","7","1",0,4.44265125649032,3.63758615972639,0,"rural",1,1,4,"1","0","0","Guangdong","Thursday","1",0,6,"1","yes and agree","heard but do not know","heard but do not know","never",0,1,3300,0.29
1240,"7","7","7",0,4.38202663467388,3.87120101090789,0,"rural",1,1,5,"0","0","0","Guangdong","Thursday","1",0,5,"1","yes and agree","heard but do not know","heard but do not know","heard but do not know",0,1,3640,0.417171619283491
1424,"6","6","4",0,4.49980967033027,3.78418963391826,0,"city",1,1,4,"1","0","0","Hebei","Saturday","1",0,2,"1","no","heard but do not know","heard but do not know","never",2,1,2400,0.29
3236,"4","6","4",0,4.49980967033027,3.71357206670431,0,"city",0,1,2,"0","0","0","Guangdong","Thursday","1",0,5,"1","yes and agree","never","never","never",0,1,1800,0.753587280600736
1585,"6","5","4",0,4.78749174278205,3.43398720448515,0,"county seat",1,1,2,"1","0","0","Guangdong","Saturday","1",0,5,"1","yes but disagree","heard but do not know","heard but do not know","heard but do not know",0,1,3960,0.357396571614206
992,"1","1","1",0,4.24849524204936,3.95124371858143,0,"rural",0,1,3,"0","0","0","Beijing","Tuesday","0",1,3,"1","no","never","never","heard but do not know",0,1,2415,1.04906162482667
3184,"2","1","2",1,4.4188406077966,3.49650756146648,1,"county seat",0,0,5,"0","1","0","Guangdong","Wednesday","1",0,6,"1","yes and agree","heard and know","heard but do not know","never",12,1,6355,0.389552227928835
2650,"4","5","3",0,3.3322045101752,3.3322045101752,1,"city",1,0,3,"0","1","0","Guangdong","Wednesday","1",1,0,"1","yes and agree","heard but do not know","never","never",6,0,478,0.408207026552079
1582,"5","5","4",0,3.68887945411394,3.63758615972639,0,"county seat",0,0,1,"0","0","0","Guangdong","Saturday","1",1,0,"1","yes and agree","heard but do not know","never","never",14,0,1733,0.873674535534688
1209,"4","4","3",0,4.31748811353631,3.66356164612965,0,"city",1,0,3,"1","0","0","Hebei","Thursday","1",1,0,"1","yes and agree","heard but do not know","never","never",6,0,1857,0.29
189,"7","7","7",0,4.31748811353631,3.55534806148941,1,"city",1,1,6,"1","1","1","Zhejiang","Sunday","0",0,6,"1","yes and agree","heard and know","never","never",7,1,4200,0.29
151,"7","7","2",1,4.8283137373023,3.71357206670431,0,"city",1,1,4,"0","1","0","Hebei","Saturday","1",1,4,"1","yes and agree","heard but do not know","never","never",0,1,2656,0.62217556485308
2539,"3","3","3",0,4.49980967033027,4.06044301054642,0,"county seat",1,1,4,"1","0","0","Zhejiang","Tuesday","0",0,2,"1","no","heard but do not know","never","never",0,1,3200,0.693109043829197
1982,"7","7","7",0,4.60517018598809,2.99573227355399,1,"city",1,0,6,"1","0","0","Beijing","Wednesday","1",0,0,"1","yes and agree","heard and know","heard and know","heard but do not know",2,0,2150,0.591478324546551
1425,"4","2","4",0,4.86753445045558,3.2188758248682,0,"rural",1,1,4,"1","0","0","Hebei","Saturday","1",0,2,"1","no","heard but do not know","never","never",0,1,2600,3.45407900114864
1823,"7","7","1",0,4.49980967033027,3.87120101090789,1,"city",1,1,4,"1","0","0","Beijing","Tuesday","1",1,1,"1","yes and agree","familiar","familiar","familiar",14,1,2250,0.29
2534,"4","3","4",0,4.24849524204936,3.49650756146648,0,"county seat",1,1,4,"1","0","0","Zhejiang","Tuesday","0",0,2,"1","yes and agree","heard and know","never","never",6,1,3600,0.92031239779923
1184,"4","7","4",1,5.93489419561959,3.52636052461616,0,"city",1,1,3,"1","1","0","Hebei","Monday","1",0,1,"1","yes and agree","heard and know","never","never",0,1,20350,0.29
1843,"4","4","4",0,4.17438726989564,3.13549421592915,0,"city",1,0,4,"0","1","0","Hebei","Tuesday","1",0,2,"1","yes and agree","heard but do not know","heard but do not know","heard but do not know",2,1,580,0.513391102033781
3205,"4","4","4",0,4.70048036579242,3.36729582998647,0,"county seat",1,1,4,"1","0","0","Guangdong","Thursday","1",0,3,"1","yes but disagree","heard but do not know","heard but do not know","heard but do not know",0,1,1600,0.390352736240351
941,"6","6","6",0,4.20469261939097,3.80666248977032,0,"city",1,1,3,"0","1","0","Hebei","Monday","1",0,3,"1","yes but disagree","heard but do not know","heard but do not know","heard but do not know",0,1,3300,1.32587761056342
1216,"3","3","1",0,4.00733318523247,3.97029191355212,0,"city",1,1,4,"0","0","0","Beijing","Thursday","1",0,4,"1","yes but disagree","never","never","never",12,1,3200,0.29
1422,"4","3","1",0,3.68887945411394,3.68887945411394,0,"city",1,1,4,"1","0","0","Beijing","Saturday","1",1,4,"1","yes and agree","heard but do not know","never","never",10,1,1380,0.29
1313,"7","6","7",0,4.38202663467388,3.25809653802148,0,"county seat",0,1,4,"1","1","0","Guangdong","Friday","0",1,4,"1","no","never","never","never",0,1,2133,0.536869282371849
3196,"1","1","1",1,4.00733318523247,3.63758615972639,0,"county seat",1,1,4,"1","0","0","Guangdong","Thursday","1",1,5,"1","yes and agree","heard and know","heard and know","heard and know",10,1,2226,0.29
1502,"7","7","4",0,5.07517381523383,3.46573590279973,0,"rural",0,1,3,"1","0","0","Hebei","Saturday","1",0,2,"1","no","never","never","never",0,1,2182,2.94280958926656
1881,"7","5","4",0,4.60517018598809,3.80666248977032,0,"county seat",0,1,3,"0","0","0","Hebei","Tuesday","1",0,2,"1","yes and agree","heard but do not know","never","never",0,1,2400,9.28086608438062
1501,"5","4","4",0,3.76120011569356,4.07753744390572,0,"city",1,1,4,"0","1","0","Beijing","Saturday","1",1,4,"1","yes but disagree","never","never","never",0,1,2000,0.29
1031,"6","6","6",0,4.60517018598809,3.63758615972639,1,"county seat",1,1,4,"0","0","1","Hebei","Tuesday","1",1,3,"1","yes and agree","never","heard but do not know","never",0,1,2267,0.29
2512,"7","7","7",0,4.8283137373023,3.25809653802148,0,"county seat",1,1,2,"1","0","0","Hebei","Wednesday","1",0,1,"1","yes and agree","heard and know","heard but do not know","never",14,1,1683,0.446925814010253
1385,"4","4","4",1,4.8283137373023,3.52636052461616,0,"city",1,1,4,"1","1","0","Hebei","Friday","0",0,3,"1","yes but disagree","heard but do not know","heard but do not know","heard but do not know",4,1,1600,0.29
2531,"1","1","1",0,4.39444915467244,3.66356164612965,0,"county seat",1,1,5,"1","1","0","Zhejiang","Tuesday","0",1,2,"1","yes and agree","heard and know","never","never",10,1,2400,0.29
2323,"5","5","5",0,5.52146091786225,3.36729582998647,0,"city",0,1,4,"1","0","0","Guangdong","Saturday","1",0,0,"1","yes and agree","heard and know","heard and know","heard but do not know",10,0,1875,0.46690967267782
3428,"7","7","7",0,4.60517018598809,3.43398720448515,1,"city",1,0,4,"1","0","0","Guangdong","Saturday","0",1,1,"1","yes and agree","heard but do not know","heard but do not know","heard but do not know",2,1,3600,0.357396571614206
2334,"6","6","5",0,3.80666248977032,3.49650756146648,1,"city",1,1,3,"1","1","0","Guangdong","Saturday","0",1,3,"1","yes and agree","heard and know","heard and know","heard and know",12,1,1636,0.29
2439,"7","7","1",0,3.36729582998647,3.36729582998647,0,"city",1,1,3,"1","0","0","Beijing","Monday","1",0,2,"1","yes and agree","heard and know","heard but do not know","heard but do not know",10,1,4200,1.12488827512446
1159,"5","4","3",1,3.91202300542815,3.8286413964891,0,"city",1,1,4,"1","0","0","Beijing","Wednesday","0",1,4,"1","no","never","never","never",2,1,857,0.29
1828,"5","6","5",0,4.44265125649032,3.04452243772342,0,"city",0,0,5,"1","1","0","Guangdong","Tuesday","0",1,0,"0","yes and agree","heard but do not know","never","heard but do not know",2,0,1333,2.07766836253582
2214,"6","6","6",0,4.78749174278205,4.04305126783455,0,"county seat",0,1,4,"0","0","0","Guangdong","Friday","1",0,5,"1","yes but disagree","heard but do not know","never","never",0,1,6188,0.357590705991264
906,"6","6","1",0,4.00733318523247,4.11087386417331,0,"city",0,1,4,"0","1","0","Hebei","Sunday","1",1,2,"1","yes and agree","heard but do not know","heard but do not know","never",0,1,2400,0.29
1661,"6","6","6",0,5.18738580584075,3.43398720448515,0,"county seat",0,1,4,"1","0","0","Hebei","Sunday","1",0,3,"1","yes and agree","heard and know","heard and know","heard and know",0,1,2800,3.36961420810059
180,"7","7","7",0,4.85981240436167,3.97029191355212,0,"rural",0,1,4,"0","0","0","Hebei","Saturday","1",1,0,"1","no","never","never","never",2,0,1650,0.997691698834519
841,"3","4","2",0,3.71357206670431,3.43398720448515,1,"city",0,0,3,"0","0","0","Beijing","Sunday","1",1,0,"1","yes and agree","never","never","never",14,0,2200,0.426155297891374
3389,"6","6","6",0,4.17438726989564,3.49650756146648,0,"city",1,1,3,"1","1","0","Guangdong","Saturday","1",0,4,"1","yes but disagree","heard and know","never","never",8,1,1765,0.29
